name,county,sub_county,nearest-landmark,lat,lon,type
Amani Medical Clinic,Machakos,Machakos,Jokoini,-1.276,37.23,Hospital
Amani Medical Clinic (Changamwe),Mombasa,Changamwe,Mombasa,-3.99953,39.60588,Hospital
Amani Medical Clinic (Kambu),Makueni,Kibwezi,Kambu,-2.59398,38.07652,Hospital
Amani Medical Clinic (Kilifi),Kilifi,Kilifi North,Kilifi,-3.64157,39.84783,Hospital
Amani Medical Clinic (Likoni),Mombasa,Likoni,Mombasa,-4.08961,39.65088,Hospital
Amani Medical Clinic (Malindi),Kilifi,Magarini,Marereni,-2.86064,40.08492,Hospital
Amani Medical Clinic (Meru),Meru,Imenti North,Gakoromone Market,0.0469,37.65956,Hospital
Amani Medical Clinic (Meru),Meru,Imenti North,Meru Town,0.0469,37.65956,Hospital
Amani Medical Clinic (Murungaru),Nyandarua,Nyandarua South,Murungaru shopping centre,-0.58922,36.49003,Hospital
Amani Medical Clinic Magumu,Nyandarua,Kinangop,Magumu Market,-0.86052,36.56489,Hospital
Amani Medical Clinic Yatta,Machakos,Machakos,In Kaseve Market,-1.52265,37.33527,Hospital
Amani VCT,Mombasa,Kisauni, ,-4.06274,39.67241,Hospital
Amase Dispensary,Busia,Teso South,Adunogsi,0.52063,34.18226,Hospital
Amatierio Dispensary,Nyamira,Borabu,Nyaramba,-0.47118,34.94123,Hospital
Amazing Grace M C,Nyandarua,Nyandarua West,Kasuku,-0.13143,36.34941,Hospital
Ambalo Dispensary,Marsabit,Sololo,Sololo,3.03433,38.75968,Hospital
Ambira Sub-District Hospital,Siaya,Ugunja,Ugunja Market,0.17689,34.27269,Hospital
Amboni Dispensary,Nyeri,Kieni West,Mweiga,-0.33787,36.87315,Hospital
Amboseli Dispensary,Kajiado,Loitoktok,Loitokitok,-2.74492,37.3667,Hospital
Amboseli Serena Lodge Clinic,Kajiado,Loitoktok,Loitokitok,-2.70725,37.26451,Hospital
AMEC Laboratories,Nakuru,Nakuru,Near Gilanis Supermarket,-0.28489,36.071,Hospital
Amina Medical Clinic,Kilifi,Kilifi South,Kikimbala market,-3.89126,39.77954,Hospital
Among'ura Community Dispensary,Busia,Teso South,Adungosi,0.54258,34.13744,Hospital
Amoyo Dispensary,Homa Bay,Ndhiwa,Riat,-0.82297,34.35597,Hospital
Amugaa Health Centre,Meru,Tigania East,Kianjai,0.15114,37.89011,Hospital
Amukura Health Centre,Busia,Teso South,Amukura,0.56216,34.27321,Hospital
Amukura Mission Health Centre,Busia,Teso South,Amukura,0.572,34.27269,Hospital
Amuma Dispensary,Garissa,Fafi,Amuma,-0.11627,40.29318,Hospital
Amuma Mobile Dispensary,Garissa,Fafi,Bura,-0.26111,40.20173,Hospital
Amungeti Catholic Dispensary,Meru,Igembe South,Maua,0.19328,37.96353,Hospital
Amurt Health care Centre (Malindi),Kilifi,Malindi,Shella,-3.22482,40.12517,Hospital
Amurt Health Centre,Nairobi,Westlands,Nairobi,-1.2658,36.73778,Hospital
Amurt Health Centre (Likoni),Mombasa,Likoni,Mombasa,-4.07765,39.65362,Hospital
Amwamba Dispensary,Meru,Igembe South,Kinji Market,0.19384,37.93124,Hospital
Ancilla Catholic Dispensary,Uasin Gishu,Eldoret West,Eldoret,0.549715,35.2702,Hospital
Anderi Dispensary,Samburu,Samburu North,South Horr,2.22166,36.89779,Hospital
Andersen Medical Centre,Trans Nzoia,Kwanza,Kitale,1.20451,34.78798,Hospital
Anding'o Opanga Dispensary,Kisumu,Nyakach,Anding' Opanga,-0.3624,34.8405,Hospital
Andulus Medical Clinic,Nairobi,Kamukunji,Woodstreet Nursing Home,-1.27393,36.84563,Hospital
Aneko Dispensary,Migori,Nyatike,Aneko,-0.98,34.15,Hospital
Angaga Dispensary,Migori,Awendo,Mariwa Market Center,-0.98123,34.61518,Hospital
Angata Health Centre,Narok,Trans Mara West - Dikirr,Angata Market,-1.37645,34.77567,Hospital
Angata Nanyokie Dispensary,Samburu,Samburu Central,Angata Nanyokie Village,1.3181,36.67378,Hospital
Angaza VCT,Nairobi,Embakasi Central,Koyole,-1.27541,36.91075,Hospital
Angelic Medical Centre,Kiambu,Kiambu,Kasarini,-1.20449,36.83379,Hospital
Angels Health Services,Meru,Igembe South,Amwathi,0.232003,37.94174,Hospital
Ang'iya Dispensary,Homa Bay,Mbita,Luanda,-0.45775,34.27647,Hospital
Angola Community Dispensary,Kisumu,Kisumu East,Angola Market,-0.12713,34.8245,Hospital
Angurai Health Centre,Busia,Teso North,Angurai,0.70935,34.35149,Hospital
Anin Dispensary,Elgeyo Marakwet,Keiyo,Iten,0.685766,35.529289,Hospital
Anjego Dispensary,Migori,Migori,Anjego,-1.01652,34.44287,Hospital
Ankamia Dispensary,Meru,Tigania East,Ankamia market,0.12588,37.87908,Hospital
Anmer Dispensary,Kiambu,Kiambu,Kiambu,-1.13699,36.84742,Hospital
Annet Dispensary,West Pokot,Pokot Central,Kitor,1.32562,35.60279,Hospital
Annex Clinic (Kenyenya),Kisii,Kenyenya,Magena,-0.91614,34.79611,Hospital
Annex Health Care,Nairobi,Roysambu,just next to 44 stage,-1.20013,36.90185,Hospital
Annex Hospital (Nakuru),Nakuru,Nakuru,Nakuru Town,-0.16938,36.04868,Hospital
Annex Laboratory,Nyeri,Nyeri Central,Nyeri Town,-0.001332,37.094,Hospital
Annex Medical Clinic,Embu,Mbeere North,Siakago,-0.57653,37.63925,Hospital
Annex Medical Clinic (Muranga North),Murang'a,Mathioya,Kiriaini,-0.60221,36.95693,Hospital
Annex Medical Clinic (Trans Nzoia West),Trans Nzoia,Trans Nzoia West,Kitale,0.8915,34.91984,Hospital
Annointed Medical Clinic,Kakamega,Mumias, ,0.29934,34.50601,Hospital
Annunciation Catholic Dispensary,Kiambu,Ruiru,Githurai,-1.21305,36.96945,Hospital
Anole Dispensary,Wajir,Eldas,Eldas,2.29626,39.48458,Hospital
Anona Dispensary,Marsabit,Sololo,Sololo,3.59256,38.62391,Hospital
Ansar Medical Clinic,Mombasa,Changamwe,Mombasa,-3.98311,39.5958,Hospital
Antodevi Medical Clinic,Meru,Igembe South,KIMONGORO,0.20056,37.94756,Hospital
Antony Njogu Clinic,Nyeri,Nyeri Central,Nyeri Town,-0.001332,37.094,Hospital
Antubangai Catholic Dispensary,Meru,Igembe Central,Athiru Market,0.292,37.961,Hospital
Antubetwe Njoune Dispensary,Meru,Igembe Central,Njoune Market,0.2633,37.95563,Hospital
Antubochiu Dispensary,Meru,Igembe South,Antubochiu Market,0.21061,37.94341,Hospital
Anyuongi Dispensary,Siaya,Bondo,Anyuongi,-0.17618,34.27613,Hospital
Anza Mapema-Drop in Dice,Kisumu,Kisumu East,Tom Mboya Estate,-0.04721,34.67107,Hospital
Ap Line Dispensary,Kakamega,Kakamega Central (Lurambi),Kakamege Town,0.27532,34.75514,Hospital
Apdk Dispensary (Machakos),Machakos,Machakos,Machakos,-1.5195,37.26185,Hospital
Apetit Dispensary,Busia,Teso South, ,0.5457,34.21069,Hospital
Apex Clinic,Siaya,Bondo,Usenge,-0.06349,34.06152,Hospital
Apha Laboratory,Kirinyaga,Kirinyaga West,Sagana,-0.66523,37.20623,Hospital
Aphia Disc 1 Nanyuki Transport,Laikipia,Laikipia East,Nanyuki  Town,0.0143,37.07866,Hospital
Aphia Plus Marps Dic Nanyuki,Laikipia,Laikipia East,Nanyuki town,0.01413,37.0703,Hospital
Aphiaplus Drop-In Centre (Naivasha),Nakuru,Naivasha,Naivasha town,-0.71238,36.42947,Hospital
Apokor Dispensary,Busia,Teso South,Amukura,0.52922,34.28329,Hospital
Aposta Dispensary,Turkana,Turkana West,Lokichogio,4.10123,34.5792,Hospital
Apostles Clinic,Kakamega,Butere,Sabatia,0.26038,34.50626,Hospital
Appex Medical Clinic,Nandi,Nandi East,Nandi Hills,0.10631,35.18473,Hospital
Approved Dispensary,Kakamega,Kakamega Central (Lurambi),Kakamege Town,0.29318,34.76131,Hospital
Approved School Dispensary (Machakos),Machakos,Machakos,Katoloni Market,-1.58672,37.25784,Hospital
Apu Dispensary,Isiolo,Isiolo,Isiolo,0.27955,37.54604,Hospital
Aqswaa Medical Clinic,Kwale,Msambweni,Ukunda,-4.36865,39.40521,Hospital
Aqua Medical Clinic,Nyeri,Kieni East,Narumoru,-0.17129,37.02035,Hospital
Aquilla Farm Medical Clinic,Nakuru,Naivasha,Naivasha,-0.74543,36.25053,Hospital
Arabia Health Centre,Mandera,Mandera East,Mandera,3.94118,41.86135,Hospital
Arama Dispensary,Baringo,Koibatek,Eldama Ravine,0.04383,35.66081,Hospital
Arara ENT Clinic,Trans Nzoia,Trans Nzoia West,Kitale,1.01555,35.00208,Hospital
Arara ENT Clinic,Trans Nzoia,Trans Nzoia West,Within Kitale town,1.01555,35.00208,Hospital
Arbajahan Health Centre,Wajir,Wajir West,Griftu,2.06749,39.0126,Hospital
Arbajahan Nomadic Mobile Clinic,Wajir,Wajir West,Griftu,2.13798,39.28422,Hospital
Arbaqueranso Dispensary,Wajir,Wajir East,Arbaqueranso Village,1.77267,40.2957,Hospital
Arcade Medical Clinic,Nyeri,Mathira East,Karatina,-0.48011,37.12399,Hospital
Arcade Medical Clinic (Ruiru),Kiambu,Ruiru,Githurai 44,-1.21078,36.92446,Hospital
Archers Post Health Centre,Samburu,Samburu East,Archers Post,0.65141,37.5921,Hospital
Aren Medical Clinic,Kiambu,Limuru,Kamirithu village,-1.10928,36.62803,Hospital
Aren Medical Clinic,Kiambu,Limuru,Limuru,-1.10928,36.62803,Hospital
Aresa Dispensary,Mandera,Mandera East,Mandera,3.94589,41.54122,Hospital
Argane Dispensary,Wajir,Wajir South,Habaswein,1.66875,40.3606,Hospital
Arimi Clinic and Laboratory,Embu,Manyatta,Embu,-0.53512,37.45099,Hospital
Arimi Dispensary,Nakuru,Molo,Elburgon,-0.28251,35.85133,Hospital
Arito Langi Dispensary,Kisumu,Seme,Kolenyo,-0.09448,34.44948,Hospital
Arjijo Dispensary,Laikipia,Laikipia North,Doldol,0.30935,37.24632,Hospital
Armstrong,Kakamega,Mumias,At Shianda mkt,0.29934,34.50601,Hospital
Aro (SDA) Dispensary,Siaya,Bondo,Ndori,-0.06953,34.35579,Hospital
Arombe Dispensary,Migori,Migori,Masara,-1.03484,34.35083,Hospital
Arosa Dispensary,Marsabit,Moyale,Butiye,3.52172,39.05413,Hospital
Arpollo Dispensary,West Pokot,Pokot Central,Sigor,1.19554,35.36162,Hospital
Arroket Dispensary,Bomet,Sotik,Sotik,-0.61894,35.07315,Hospital
Arror Health Centre,Elgeyo Marakwet,Marakwet West,Kapsowar,0.95125,35.62007,Hospital
Arrow Web Maternity and Nursing Home,Nairobi,Embakasi Central,Nairobi,-1.26843,36.9211,Hospital
Arsim Lutheran Dispensary,Samburu,Samburu North,Arsim,1.77759,37.20554,Hospital
Artisan Dental Laboratory (Nairobi),Nairobi,Starehe,Wakulima market,-1.2887,36.82838,Hospital
Asantey Clinic,Kiambu,Thika West,Thika town bus station,-1.0349,37.0768,Hospital
Asat Beach Dispensary,Kisumu,Seme,Asat Beach,-0.18267,34.51846,Hospital
Asayi Dispensary,Siaya,Gem,Sirembe Market,0.1176,34.37246,Hospital
Asembo Bay Health Clinic (Rarieda),Siaya,Rarieda,Kamito market,-0.1815,34.38582,Hospital
Ash Community Health Centre,Trans Nzoia,Trans Nzoia West,Kitale,0.9503,34.97614,Hospital
Ashabito Health Centre,Mandera,Mandera North,Rhamu,3.55206,40.87104,Hospital
Ashburn Ohuru Clinic,Siaya,Siaya,Siaya Market,0.03228,34.31474,Hospital
Ashraf Medical Clinic,Mombasa,Mvita,Mombasa,-4.06111,39.67204,Hospital
Aski Medical Clinic,Nairobi,Embakasi Central,Nairobi,-1.26552,36.92215,Hospital
ASN Upendo Village Dispensary,Nakuru,Naivasha,Naivasha town,-0.75748,36.47571,Hospital
ASPE Medical Clinic,Kiambu,Gatundu North,Gatundutown,-1.0321,36.83175,Hospital
Assa Dispensary,Tana River,Tana Delta,Garsen,-2.04877,39.42897,Hospital
Association of Physically Disabled of Kenya,Nairobi,Westlands,ABC Place,-1.258096,36.7786,Hospital
Assumption of Mary Dispensary,Kiambu,Thika East,Kaguku,-0.985005,37.3309,Hospital
Assumption Sisters Dispensary,Elgeyo Marakwet,Keiyo,Iten,0.71528,35.51798,Hospital
Assumption Sisters Mbooni Clinic,Makueni,Mbooni West,Kikima Market,-1.66007,37.44812,Hospital
Assururiet (SDA) Dispensary,Uasin Gishu,Wareng,Eldoret,0.23641,35.48665,Hospital
Asumbi Annex Dispensary,Homa Bay,Homa Bay,Rodi Market,-0.6246,34.50363,Hospital
Asumbi Health Centre,Homa Bay,Homa Bay,Rangwe,-0.62079,34.61453,Hospital
Asumbi Teachers Training College,Homa Bay,Homa Bay,Asumbi,-0.6018,34.23737,Hospital
Atakara Medical Clinic,Machakos,Matungulu,Tala,-1.26651,37.3199,Hospital
Atela Dispensary,Homa Bay,Rachuonyo South,Near Chabera Market,-0.42457,34.99704,Hospital
Atemo Health Centre,Homa Bay,Rachuonyo South,Ringa Market,-0.503,34.83291,Hospital
Athi Complex Community Centre,Machakos,Athi River,Athi River Town,-1.4452,36.9768,Hospital
Athi Dispensary,Kiambu,Thika West,Jujafarm,-1.16958,37.14497,Hospital
Athi Kamunyuni Dispensary,Makueni,Kibwezi,Kambu,-2.50586,38.26188,Hospital
Athi River Community Hospital,Machakos,Athi River,Makadara,-1.46131,36.97934,Hospital
Athi River Health Centre,Machakos,Athi River,Mavoko,-1.44961,36.98334,Hospital
Athi River Medical Services,Machakos,Athi River,Makadara,-1.45772,36.97749,Hospital
Athibohol Dispensary,Wajir,Wajir West,Griftu,1.85794,39.46997,Hospital
Athirunjine Runjine Dispensary,Meru,Igembe Central,Antubetwe Market,0.30737,37.96397,Hospital
Atiar Dispensary,Baringo,Baringo North,Kabartonjo,0.77933,35.8183,Hospital
Atlas Medical Clinic,Nyeri,Nyeri South,Othaya Town,-0.54785,36.94291,Hospital
Avarende Medical Clinic,Kakamega,Kakamega Central (Lurambi),Sichirai Mkt,0.30369,34.76259,Hospital
Avenue Health Care,Mombasa,Mvita,Mombasa,-4.04906,39.67352,Hospital
Avenue Health Care (Makadara),Nairobi,Makadara,Lungalunga,-1.30337,36.86518,Hospital
Avenue Health Care Clinic,Kisumu,Kisumu East,Kisumu,-0.10463,34.75323,Hospital
Avenue Health Care Nakuru,Nakuru,Nakuru,Central Town,-0.28633,36.06528,Hospital
Avenue Health Care Ongata Rongai,Kajiado,Kajiado North,Ongata Rongai,-1.39443,36.76322,Hospital
Avenue Healthcare Thika,Kiambu,Thika West,Thika town,-1.03879,37.07748,Hospital
Avenue Hospital,Nairobi,Westlands,Nairobi,-1.264508,36.817897,Hospital
Avenue Hospital Kisumu,Kisumu,Kisumu East,Kibuye Market-Kisumu Kakamega Road,-0.088626,34.770387,Hospital
Awasi Mission Health Center,Kisumu,Nyando,Awasi,-0.16043,35.07395,Hospital
Awendo Jiwdendi,Migori,Awendo,Within Awendo Town,-0.90578,34.52885,Hospital
Axis Nursing Home,Mombasa,Mvita,Marikiti,-4.05815,39.67255,Hospital
Ayan Clinic,Garissa,Dadaab,Modogashe,0.614728,39.1829,Hospital
Ayatya Dispensary,Baringo,Baringo North, ,0.674182,35.78822,Hospital
Azimio Medical Centre,Mombasa,Mvita,Tudor Market,-4.03355,39.66053,Hospital
Azimio Medical Clinic (Meru South),Tharaka Nithi,Meru South,Chuka Town/ Kambandi Market,-0.35511,37.66638,Hospital
B & L Healthcare(Naivasha),Nakuru,Naivasha,Naivasha,-0.71456,36.4335,Hospital
B/Valley (PCEA) Clinic,Embu,Manyatta,Embu,-0.5332,37.46336,Hospital
Baari Health Centre,Nyandarua,Nyandarua North,Mailo Inya,-0.01049,36.4143,Hospital
Baawa Community Dispensary,Samburu,Samburu Central,Kisima,1.01035,36.7816,Hospital
Babadogo (EDARP),Nairobi,Ruaraka,Nairobi,-1.23916,36.8864,Hospital
Babadogo Health Centre,Nairobi,Ruaraka,Nairobi,-1.2441,36.88416,Hospital
Babadogo Medical Health Centre,Nairobi,Ruaraka,Nairobi,-1.23916,36.8864,Hospital
Babito Medical Centre,Nairobi,Ruaraka,Next to stage 29/30,-1.25313,36.86708,Hospital
Badana Dispensary,Isiolo,Garbatula,Badana,1.11633,38.9846,Hospital
Badan-Rero Dispensary,Marsabit,Sololo,Sololo,2.76014,38.9009,Hospital
Badassa Dispensary,Marsabit,Marsabit,Marsabit,2.26571,38.02626,Hospital
Badilika VCT,Homa Bay,Rachuonyo South,Chabera Market,-0.42111,35.00508,Hospital
Badri Medical Clinic,Mombasa,Kisauni,Kongowea,-4.03605,39.69097,Hospital
Badria Medical Clinic,Mombasa,Kisauni,Mombasa,-4.04235,39.68392,Hospital
Bafana Medical Centre,Nairobi,Westlands, ,-1.26845,36.75504,Hospital
Bagaria Dispensary,Nakuru,Njoro,Bagaria,-0.48542,36.03998,Hospital
Bahai Dispensary,Bungoma,Kimilili Bungoma,Kimilili,0.73894,34.74928,Hospital
Bahari Medical Clinic,Mombasa,Likoni,Mombasa,-4.08577,39.65958,Hospital
Bahari Medical Clinic Diani Beach,Kwale,Msambweni,Ukunda,-4.30791,39.57793,Hospital
Baharini Dispensary,Uasin Gishu,Eldoret East, ,0.30366,35.45132,Hospital
Bahati Clinic,Nairobi,Makadara,Bahati,-1.29039,36.8594,Hospital
Bahati Dispensary,Nakuru,Nakuru North,Bahati,-0.15402,36.15361,Hospital
Bahati District Hospital,Nakuru,Nakuru North,Maili Kumi,-0.17031,36.12368,Hospital
Bahati Health Centre,Nairobi,Makadara,Makadara,-1.28891,36.86299,Hospital
Bahati Hospital(Joska),Machakos,Matungulu,Joska Market,-1.28363,37.09737,Hospital
Bahati Medical Clinic,Nairobi,Makadara,Nairobi,-1.32065,36.9336,Hospital
Bahati Medical Clinic (Lugari),Kakamega,Lugari,Lumakanda,0.65402,34.9643,Hospital
Bahati Medical Clinic (West Pokot),West Pokot,West Pokot,Makutano,1.25992,35.09843,Hospital
Bahati Medical Clinic Migori,Migori,Migori,Migori Town Market,-1.0682,34.46918,Hospital
Baji Dispensary,Wajir,Wajir West,Baji Primary school,2.29395,38.93313,Hospital
Bakarani Community Clinic,Mombasa,Kisauni,Mombasa,-4.01513,39.69491,Hospital
Bakarani Maternity and Nursing Home,Mombasa,Mvita,Majengo Market,-4.0516,39.66537,Hospital
Bakhita Dispensary,Kilifi,Malindi,Mayungu,-3.17445,40.06918,Hospital
Balambala Sub-District Hospital,Garissa,Balambala,Garissa,-0.04445,39.06323,Hospital
Balatula Amin Dispensary,Wajir,Eldas,Elnur,1.58344,39.55006,Hospital
Baldo Ippolita Catholic Health Centre,Nairobi,Embakasi South,Pipeline,-1.19076,36.53239,Hospital
Bales Saru Dispensary,Marsabit,North Horr, ,4.17562,37.18699,Hospital
Balesa Dispensary,Marsabit,North Horr,North Horr,3.60933,37.34534,Hospital
Balich Dispensary,Garissa,Garissa,Garissa,-0.22079,39.47748,Hospital
Balla Dispensary,Marsabit,Marsabit, ,1.1234,37.12789,Hospital
Ballore Africa Logistic Staff Clinic,Mombasa,Changamwe,Mombasa,-4.01822,39.63202,Hospital
Bama Hospital,Siaya,Siaya,Siaya Town,0.05668,34.29407,Hospital
Bamba Medical Clinic,Kilifi,Ganze,Bamba,-3.54347,39.522,Hospital
Bamba Sub-District Hospital,Kilifi,Ganze,Bamba Market,-3.545332,39.523595,Hospital
Bamboo Health Centre,Nyandarua,Kinangop,Magumu,-0.86276,36.56636,Hospital
Bamburi Dispensary,Mombasa,Kisauni,Mombasa,-4.00435,39.69335,Hospital
Bamburi Medicare,Mombasa,Kisauni,Kongowea,-4.00329,39.6986,Hospital
Banadir Clinic,Mandera,Mandera East,Mandera,3.94502,41.8354,Hospital
Bande Dispensary,Migori,Nyatike,Bande,-1.03519,34.19766,Hospital
Bangali Dispensary,Tana River,Bura,Bangali,-0.72541,39.01666,Hospital
Bangali Nomadic,Tana River,Bura,Bangali Town,-1.7145,39.01568,Hospital
Bangii Medical Clinic,Nakuru,Nakuru,Nakuru Town,-0.27787,36.00408,Hospital
Banisa Health Centre,Mandera,Banisa,Banisa,3.94034,40.34418,Hospital
Banita Dispensary,Nakuru,Rongai,Mogotio,-0.07525,36.07665,Hospital
Banja Health Centre,Vihiga,Hamisi, ,0.04438,34.8298,Hospital
Bans Optical (Nairobi),Nairobi,Starehe,City Market,-1.28119,36.82119,Hospital
Baobab Annex Clinic,Mombasa,Kisauni,Junda,-4.02514,39.67699,Hospital
Baobab Clinic - Bamburi Cement,Mombasa,Kisauni,Bamburi Mtamboni,-3.96975,39.7061,Hospital
Baobab Medical Clinic,Kilifi,Kaloleni,Mariakani,-3.85775,39.47657,Hospital
Baolala Dispensary,Kilifi,Malindi,Makobeni,-3.17962,39.78562,Hospital
Bar Achuth Dispensary,Siaya,Ugenya,Ligingo,0.28968,34.17204,Hospital
Bar Agulu Dispensary,Siaya,Siaya,Bar Agulu Market,0.04205,34.3338,Hospital
Bar Aluru Dispensary (Rarieda),Siaya,Rarieda,Lwak market,-0.119978,34.3383,Hospital
Bar Hostess Empowerment and Support Programme (Makadara),Nairobi,Makadara,Uhuru Market,-1.29381,36.84889,Hospital
Bar Hostess Empowerment Support Program VCT,Nairobi,Ruaraka,Alsops,-1.24777,36.87193,Hospital
Bar Korwa Dispensary,Kisumu,Seme,Bar Korwa,-0.06878,34.51293,Hospital
Bar Ndege Dispensary,Siaya,Ugenya,Kanyumba Market,-0.29962,34.34579,Hospital
Bar Olengo Dispensary,Siaya,Siaya,Bar Olengo Market,0.015152,34.21078,Hospital
Baragoi Catholic Dispensary,Samburu,Samburu North,Baragoi,1.73792,36.8579,Hospital
Baragoi Sub-District Hospital,Samburu,Samburu North,Baragoi,1.78257,36.78812,Hospital
Baragu Health Centre,Tharaka Nithi,Maara,Chogoria,-0.24794,37.67972,Hospital
Baragwi Maternity Home,Kirinyaga,Kirinyaga East,Kianyaga,-0.49316,37.35107,Hospital
Baraka Afya Clinic,Embu,Manyatta,Ena,-0.466194,37.4963,Hospital
Baraka Clinic (Lugari),Kakamega,Lugari,Kipkaren River,0.60881,34.96774,Hospital
Baraka Dental Clinic (Maara),Tharaka Nithi,Maara,Chogoria,-0.2236,37.63064,Hospital
Baraka Dispensary (Nairobi),Nairobi,Ruaraka,Nairobi,-1.25756,36.858,Hospital
Baraka Maternity Home,Nakuru,Nakuru,Nakuru Town,-0.28909,36.07628,Hospital
Baraka Medical Cenre,Nairobi,Westlands, ,-1.26675,36.75036,Hospital
Baraka Medical Clinic,Uasin Gishu,Wareng,Eldoret,0.29156,35.32586,Hospital
Baraka Medical Clinic (Kirinyaga),Kirinyaga,Kirinyaga South, ,-0.72136,37.32264,Hospital
Baraka Medical Clinic (Lamu),Lamu,Lamu East,Mpeketoni,-2.23303,40.42008,Hospital
Baraka Medical Clinic (Makindu),Makueni,Makindu,Makindu,-2.27853,37.81889,Hospital
Baraka Medical Clinic (Mbitini),Kitui,Kisasi,Mbitini,-1.59188,38.11635,Hospital
Baraka Medical Clinic (Muranga North),Murang'a,Kiharu,Muranga,-0.713561,37.1602,Hospital
Baraka Medical Clinic (Pokot Central),West Pokot,Pokot South,Ortum,1.43881,35.35712,Hospital
Baraka Medical Clinic (Runyenjes),Embu,Embu East, ,-0.42372,37.60722,Hospital
Baraka Medical Clinic (Samburu East),Samburu,Samburu East,Wamba,0.980778,37.3175,Hospital
Baraka Medical Clinic (Trans Nzoia East),Trans Nzoia,Trans Nzoia East,Kitale,1.0282,35.12358,Hospital
Baraka Medical Clinic (Turkana Central),Turkana,Turkana Central,Lodwar,3.10737,35.60484,Hospital
Baraka Medical Clinic (Vikwatani),Mombasa,Kisauni,Vikwatani,-4.00513,39.68971,Hospital
Baraka Medical Clinic Kitengela,Kajiado,Kajiado North,Kitengela,-1.4821,36.95013,Hospital
Baraka Medical Clinic(Muranga),Murang'a,Kiharu,Gatuya Market,-0.73203,36.92821,Hospital
Baraka Yetu Medical Clinic,Kitui,Kisasi,Mbitini,-1.35512,38.0698,Hospital
Barakeiywo Dispensary,Uasin Gishu,Wareng,Eldoret,0.20126,35.36798,Hospital
Baraki Dispensary,Garissa,Lagdera,Modogashe,0.65177,39.58088,Hospital
Barambate Dispensary,Isiolo,Garbatula,Burambate,0.43648,38.16055,Hospital
Baranga Dispensary,Meru,Imenti South, ,-0.1055,37.67919,Hospital
Bararget Dispensary,Nakuru,Kuresoi, ,-0.41505,35.73243,Hospital
Baraton MCH,Nandi,Chesumei,Kapsabet,0.23968,35.09219,Hospital
Barazani Medical Clinic,Makueni,Nzaui,Sultan Hamud,-1.94626,37.43785,Hospital
Barding Dispensary,Siaya,Siaya, Barding,0.01281,34.32742,Hospital
Bargain Medical Clinic,Nakuru,Nakuru,Near Keratina centre,-0.2795,36.12783,Hospital
Bargoni Nys Dispensary,Lamu,Lamu West,Bargoni,-2.01832,40.78041,Hospital
Baricho Catholic Health Centre,Kirinyaga,Kirinyaga West,Baricho,-0.55406,37.22931,Hospital
Baricho Dispensary (Malindi),Kilifi,Magarini,Malindi,-3.10339,39.78478,Hospital
Baricho Health Centre,Kirinyaga,Kirinyaga West,Baricho,-0.55313,37.23931,Hospital
Baringo County Beyond Zero Mobile Clinic,Baringo,Baringo Central,Kabarnet Township,0.49119,35.7436,Hospital
Barmil Dispensary,Wajir,Wajir West,Borehole,1.62753,39.70657,Hospital
Barnet Memorial Hospital,Baringo,Baringo Central,Kabarnet,0.49418,35.74169,Hospital
